file size (MB),benchmarks,latency,iteration,src_host,host_inner,host_outer,time_cp_start,time_cp_end,end_time,copy_time,convergence_time,
41,convergence,15,1,econome-9.nantes.grid5000.fr,econome-6.nantes.grid5000.fr,,2021-01-24 18:15:07,2021-01-24 18:16:26,2021-01-24 18:16:28,79.170942,80.98358,
41,convergence,15,1,econome-9.nantes.grid5000.fr,econome-8.nantes.grid5000.fr,,2021-01-24 18:15:07,2021-01-24 18:16:26,2021-01-24 18:16:28,79.170942,80.79193,
41,convergence,15,1,econome-9.nantes.grid5000.fr,,troll-2.grenoble.grid5000.fr,2021-01-24 18:15:07,2021-01-24 18:16:26,2021-01-24 18:16:34,79.170942,86.998308,
41,convergence,15,1,econome-9.nantes.grid5000.fr,,troll-3.grenoble.grid5000.fr,2021-01-24 18:15:07,2021-01-24 18:16:26,2021-01-24 18:16:35,79.170942,88.127001,
41,convergence,15,1,econome-9.nantes.grid5000.fr,,troll-4.grenoble.grid5000.fr,2021-01-24 18:15:07,2021-01-24 18:16:26,2021-01-24 18:16:37,79.170942,89.283122,
41,convergence,15,2,troll-2.grenoble.grid5000.fr,troll-3.grenoble.grid5000.fr,,2021-01-24 18:24:19,2021-01-24 18:25:46,2021-01-24 18:25:46,87.16339,87.197747,
41,convergence,15,2,troll-2.grenoble.grid5000.fr,troll-4.grenoble.grid5000.fr,,2021-01-24 18:24:19,2021-01-24 18:25:46,2021-01-24 18:25:48,87.16339,89.260513,
41,convergence,15,2,troll-2.grenoble.grid5000.fr,,econome-6.nantes.grid5000.fr,2021-01-24 18:24:19,2021-01-24 18:25:46,2021-01-24 18:25:52,87.16339,92.908278,
41,convergence,15,2,troll-2.grenoble.grid5000.fr,,econome-8.nantes.grid5000.fr,2021-01-24 18:24:19,2021-01-24 18:25:46,2021-01-24 18:25:53,87.16339,93.941735,
41,convergence,15,2,troll-2.grenoble.grid5000.fr,,econome-9.nantes.grid5000.fr,2021-01-24 18:24:19,2021-01-24 18:25:46,2021-01-24 18:25:52,87.16339,92.966255,
41,convergence,15,3,econome-8.nantes.grid5000.fr,econome-6.nantes.grid5000.fr,,2021-01-24 18:17:12,2021-01-24 18:18:04,2021-01-24 18:18:06,52.505113,53.879285,
41,convergence,15,3,econome-8.nantes.grid5000.fr,econome-9.nantes.grid5000.fr,,2021-01-24 18:17:12,2021-01-24 18:18:04,2021-01-24 18:18:04,52.505113,52.52007,
41,convergence,15,3,econome-8.nantes.grid5000.fr,,troll-2.grenoble.grid5000.fr,2021-01-24 18:17:12,2021-01-24 18:18:04,2021-01-24 18:18:45,52.505113,93.008091,
41,convergence,15,3,econome-8.nantes.grid5000.fr,,troll-3.grenoble.grid5000.fr,2021-01-24 18:17:12,2021-01-24 18:18:04,2021-01-24 18:18:44,52.505113,92.79038,
