benchmarks,latency,iteration,src_host,host_inner,host_outer,time_cp_start,time_cp_end,end_time,copy_time,convergence_time
convergence,33,1,dahu-3.grenoble.grid5000.fr,dahu-31.grenoble.grid5000.fr,,2021-01-25 21:45:58.789077,2021-01-25 21:48:49.669343,2021-01-25 21:48:51.103173,170.880266,172.314096
convergence,33,1,dahu-3.grenoble.grid5000.fr,dahu-32.grenoble.grid5000.fr,,2021-01-25 21:45:58.789077,2021-01-25 21:48:49.669343,2021-01-25 21:48:50.447420,170.880266,171.658343
convergence,33,1,dahu-3.grenoble.grid5000.fr,,econome-6.nantes.grid5000.fr,2021-01-25 21:45:58.789077,2021-01-25 21:48:49.669343,2021-01-25 21:55:27.926712,170.880266,569.137635
convergence,33,1,dahu-3.grenoble.grid5000.fr,,econome-8.nantes.grid5000.fr,2021-01-25 21:45:58.789077,2021-01-25 21:48:49.669343,2021-01-25 21:55:29.328131,170.880266,570.5390540000001
convergence,33,1,dahu-3.grenoble.grid5000.fr,,econome-9.nantes.grid5000.fr,2021-01-25 21:45:58.789077,2021-01-25 21:48:49.669343,2021-01-25 21:55:30.669609,170.880266,571.880532
convergence,33,2,econome-8.nantes.grid5000.fr,econome-6.nantes.grid5000.fr,,2021-01-26 03:03:59.407157,2021-01-26 03:07:26.354139,2021-01-26 03:07:28.160603,206.94698200000002,208.75344600000003
convergence,33,2,econome-8.nantes.grid5000.fr,econome-9.nantes.grid5000.fr,,2021-01-26 03:03:59.407157,2021-01-26 03:07:26.354139,2021-01-26 03:07:26.576130,206.94698200000002,207.16897300000002
convergence,33,3,dahu-31.grenoble.grid5000.fr,dahu-3.grenoble.grid5000.fr,,2021-01-26 00:41:32.010884,2021-01-26 00:41:54.586863,2021-01-26 00:43:51.883964,22.575979,139.87308000000002
convergence,33,3,dahu-31.grenoble.grid5000.fr,dahu-32.grenoble.grid5000.fr,,2021-01-26 00:41:32.010884,2021-01-26 00:41:54.586863,2021-01-26 00:43:52.954975,22.575979,140.94409100000001
convergence,33,8,econome-6.nantes.grid5000.fr,econome-8.nantes.grid5000.fr,,2021-01-25 09:44:50.836284,2021-01-25 09:45:48.317254,2021-01-25 09:45:49.320277,57.480970000000006,58.483993000000005
convergence,33,8,econome-6.nantes.grid5000.fr,econome-9.nantes.grid5000.fr,,2021-01-25 09:44:50.836284,2021-01-25 09:45:48.317254,2021-01-25 09:45:49.836834,57.480970000000006,59.000550000000004
convergence,33,8,econome-6.nantes.grid5000.fr,,dahu-7.grenoble.grid5000.fr,2021-01-25 09:44:50.836284,2021-01-25 09:45:48.317254,2021-01-25 09:46:06.044357,57.480970000000006,75.208073
convergence,33,8,econome-6.nantes.grid5000.fr,,dahu-8.grenoble.grid5000.fr,2021-01-25 09:44:50.836284,2021-01-25 09:45:48.317254,2021-01-25 09:46:06.190447,57.480970000000006,75.354163
convergence,33,8,econome-6.nantes.grid5000.fr,,dahu-9.grenoble.grid5000.fr,2021-01-25 09:44:50.836284,2021-01-25 09:45:48.317254,2021-01-25 09:46:06.228669,57.480970000000006,75.392385
convergence,33,9,dahu-9.grenoble.grid5000.fr,dahu-7.grenoble.grid5000.fr,,2021-01-25 10:15:37.487884,2021-01-25 10:16:35.598011,2021-01-25 10:16:35.908175,58.110127000000006,58.420291000000006
convergence,33,9,dahu-9.grenoble.grid5000.fr,dahu-8.grenoble.grid5000.fr,,2021-01-25 10:15:37.487884,2021-01-25 10:16:35.598011,2021-01-25 10:16:35.620597,58.110127000000006,58.132713
convergence,33,9,dahu-9.grenoble.grid5000.fr,,econome-6.nantes.grid5000.fr,2021-01-25 10:15:37.487884,2021-01-25 10:16:35.598011,2021-01-25 10:20:19.366781,58.110127000000006,281.878897
convergence,33,9,dahu-9.grenoble.grid5000.fr,,econome-8.nantes.grid5000.fr,2021-01-25 10:15:37.487884,2021-01-25 10:16:35.598011,2021-01-25 10:20:21.345111,58.110127000000006,283.857227
convergence,33,9,dahu-9.grenoble.grid5000.fr,,econome-9.nantes.grid5000.fr,2021-01-25 10:15:37.487884,2021-01-25 10:16:35.598011,2021-01-25 10:20:17.284858,58.110127000000006,279.79697400000003
convergence,33,10,econome-9.nantes.grid5000.fr,econome-6.nantes.grid5000.fr,,2021-01-25 11:35:54.184590,2021-01-25 11:36:51.328525,2021-01-25 11:36:53.214778,57.143935000000006,59.030188
convergence,33,10,econome-9.nantes.grid5000.fr,econome-8.nantes.grid5000.fr,,2021-01-25 11:35:54.184590,2021-01-25 11:36:51.328525,2021-01-25 11:36:52.181137,57.143935000000006,57.99654700000001
convergence,33,10,econome-9.nantes.grid5000.fr,,dahu-7.grenoble.grid5000.fr,2021-01-25 11:35:54.184590,2021-01-25 11:36:51.328525,2021-01-25 11:38:32.565064,57.143935000000006,158.38047400000002
convergence,33,10,econome-9.nantes.grid5000.fr,,dahu-8.grenoble.grid5000.fr,2021-01-25 11:35:54.184590,2021-01-25 11:36:51.328525,2021-01-25 11:38:31.027143,57.143935000000006,156.842553
convergence,33,10,econome-9.nantes.grid5000.fr,,dahu-9.grenoble.grid5000.fr,2021-01-25 11:35:54.184590,2021-01-25 11:36:51.328525,2021-01-25 11:38:29.321433,57.143935000000006,155.136843
convergence,54,2,econome-8.nantes.grid5000.fr,econome-6.nantes.grid5000.fr,,2021-01-26 02:33:41.058537,2021-01-26 02:36:15.116232,2021-01-26 02:36:15.189069,154.057695,154.13053200000002
convergence,54,2,econome-8.nantes.grid5000.fr,econome-9.nantes.grid5000.fr,,2021-01-26 02:33:41.058537,2021-01-26 02:36:15.116232,2021-01-26 02:36:16.882231,154.057695,155.82369400000002
convergence,54,3,dahu-31.grenoble.grid5000.fr,dahu-3.grenoble.grid5000.fr,,2021-01-26 01:11:46.776700,2021-01-26 01:12:31.900704,2021-01-26 01:12:33.630594,45.124004,46.853894000000004
convergence,54,3,dahu-31.grenoble.grid5000.fr,dahu-32.grenoble.grid5000.fr,,2021-01-26 01:11:46.776700,2021-01-26 01:12:31.900704,2021-01-26 01:12:33.629939,45.124004,46.853239
convergence,54,6,econome-6.nantes.grid5000.fr,econome-8.nantes.grid5000.fr,,2021-01-25 22:09:07.970210,2021-01-25 22:13:29.453452,2021-01-25 22:13:31.408398,261.483242,263.438188
convergence,54,6,econome-6.nantes.grid5000.fr,econome-9.nantes.grid5000.fr,,2021-01-25 22:09:07.970210,2021-01-25 22:13:29.453452,2021-01-25 22:13:31.445039,261.483242,263.474829
convergence,54,6,econome-6.nantes.grid5000.fr,,dahu-3.grenoble.grid5000.fr,2021-01-25 22:09:07.970210,2021-01-25 22:13:29.453452,2021-01-25 22:13:37.012114,261.483242,269.04190400000005
convergence,54,6,econome-6.nantes.grid5000.fr,,dahu-31.grenoble.grid5000.fr,2021-01-25 22:09:07.970210,2021-01-25 22:13:29.453452,2021-01-25 22:13:35.910358,261.483242,267.940148
convergence,54,6,econome-6.nantes.grid5000.fr,,dahu-32.grenoble.grid5000.fr,2021-01-25 22:09:07.970210,2021-01-25 22:13:29.453452,2021-01-25 22:13:35.127368,261.483242,267.15715800000004
convergence,54,8,econome-6.nantes.grid5000.fr,econome-8.nantes.grid5000.fr,,2021-01-25 10:02:33.823752,2021-01-25 10:03:35.125519,2021-01-25 10:03:35.313996,61.301767000000005,61.490244000000004
convergence,54,8,econome-6.nantes.grid5000.fr,econome-9.nantes.grid5000.fr,,2021-01-25 10:02:33.823752,2021-01-25 10:03:35.125519,2021-01-25 10:03:37.663012,61.301767000000005,63.83926
convergence,54,8,econome-6.nantes.grid5000.fr,,dahu-7.grenoble.grid5000.fr,2021-01-25 10:02:33.823752,2021-01-25 10:03:35.125519,2021-01-25 10:04:59.569066,61.301767000000005,145.745314
convergence,54,8,econome-6.nantes.grid5000.fr,,dahu-8.grenoble.grid5000.fr,2021-01-25 10:02:33.823752,2021-01-25 10:03:35.125519,2021-01-25 10:05:03.081202,61.301767000000005,149.25745
convergence,54,8,econome-6.nantes.grid5000.fr,,dahu-9.grenoble.grid5000.fr,2021-01-25 10:02:33.823752,2021-01-25 10:03:35.125519,2021-01-25 10:05:01.244816,61.301767000000005,147.421064
convergence,54,9,dahu-9.grenoble.grid5000.fr,dahu-7.grenoble.grid5000.fr,,2021-01-25 10:21:19.713305,2021-01-25 10:22:22.524564,2021-01-25 10:22:24.682711,62.81125900000001,64.969406
convergence,54,9,dahu-9.grenoble.grid5000.fr,dahu-8.grenoble.grid5000.fr,,2021-01-25 10:21:19.713305,2021-01-25 10:22:22.524564,2021-01-25 10:22:24.297662,62.81125900000001,64.584357
convergence,54,9,dahu-9.grenoble.grid5000.fr,,econome-6.nantes.grid5000.fr,2021-01-25 10:21:19.713305,2021-01-25 10:22:22.524564,2021-01-25 10:24:46.092187,62.81125900000001,206.378882
convergence,54,9,dahu-9.grenoble.grid5000.fr,,econome-8.nantes.grid5000.fr,2021-01-25 10:21:19.713305,2021-01-25 10:22:22.524564,2021-01-25 10:24:44.115271,62.81125900000001,204.40196600000002
convergence,54,9,dahu-9.grenoble.grid5000.fr,,econome-9.nantes.grid5000.fr,2021-01-25 10:21:19.713305,2021-01-25 10:22:22.524564,2021-01-25 10:24:45.347475,62.81125900000001,205.63417
convergence,54,10,econome-9.nantes.grid5000.fr,econome-6.nantes.grid5000.fr,,2021-01-25 11:39:21.921329,2021-01-25 11:40:20.003162,2021-01-25 11:40:20.242583,58.081833,58.321254
convergence,54,10,econome-9.nantes.grid5000.fr,econome-8.nantes.grid5000.fr,,2021-01-25 11:39:21.921329,2021-01-25 11:40:20.003162,2021-01-25 11:40:20.289588,58.081833,58.368259
